security_id,timestamp,buy_volume,sell_volume,buy_initiated,sell_initiated,tick_delta,open,high,low,close,delta,inference,open_interest,oi_change,oi_interpretation
49278,12:29,1000.0,12000.0,0.0,0.0,0.0,986.4,986.4,986.4,986.4,-11000.0,Neutral,0.0,0.0,Neutral
49279,12:41,1650.0,-2200.0,0.0,0.0,0.0,1186.2,1186.2,1186.2,1186.2,3850.0,Neutral,0.0,0.0,Neutral
49282,12:43,625.0,-21875.0,0.0,0.0,0.0,1290.8,1290.8,1290.8,1290.8,22500.0,Neutral,0.0,0.0,Neutral
49282,12:44,0.0,0.0,0.0,0.0,0.0,1290.4,1290.4,1290.4,1290.4,0.0,Neutral,0.0,0.0,Neutral
49303,12:43,0.0,0.0,0.0,0.0,0.0,9149.5,9149.5,9149.5,9149.5,0.0,Neutral,0.0,0.0,Neutral
49304,12:43,250.0,500.0,0.0,0.0,0.0,2086.7,2086.7,2086.7,2086.7,-250.0,Neutral,0.0,0.0,Neutral
49305,12:43,-6750.0,2250.0,375.0,375.0,0.0,1024.8,1024.8,1024.8,1024.8,-9000.0,Neutral,0.0,0.0,Neutral
49306,12:23,0.0,0.0,0.0,0.0,0.0,144.41,144.41,144.41,144.41,0.0,Neutral,0.0,0.0,Neutral
49307,12:43,5850.0,0.0,0.0,0.0,0.0,288.6,288.6,288.6,288.6,5850.0,Neutral,0.0,0.0,Neutral
49307,12:44,0.0,0.0,0.0,0.0,0.0,288.85,288.85,288.85,288.85,0.0,Neutral,0.0,0.0,Neutral
49308,12:13,0.0,0.0,0.0,0.0,0.0,142.58,142.58,142.58,142.58,0.0,Neutral,0.0,0.0,Neutral
49308,12:44,0.0,0.0,0.0,0.0,0.0,142.7,142.7,142.7,142.7,0.0,Neutral,0.0,0.0,Neutral
49310,12:44,-2100.0,-4200.0,4550.0,0.0,4550.0,1433.5,1439.3,1433.5,1439.3,2100.0,Buy Dominant,0.0,0.0,Neutral
49312,12:44,2850.0,-8550.0,7837.5,712.5,7125.0,393.3,393.5,393.3,393.5,11400.0,Buy Dominant,0.0,0.0,Neutral
49312,12:45,0.0,0.0,0.0,0.0,0.0,393.85,393.85,393.85,393.85,0.0,Neutral,0.0,0.0,Neutral
49317,12:42,1000.0,0.0,0.0,0.0,0.0,1422.8,1422.8,1422.8,1422.8,1000.0,Neutral,0.0,0.0,Neutral
49318,12:43,-950.0,-475.0,0.0,0.0,0.0,2068.5,2068.5,2068.5,2068.5,-475.0,Neutral,0.0,0.0,Neutral
49318,12:44,-4750.0,0.0,1900.0,1900.0,0.0,2068.5,2069.0,2068.5,2068.5,-4750.0,Neutral,0.0,0.0,Neutral
49318,12:45,0.0,0.0,3325.0,0.0,3325.0,2072.1,2072.1,2072.1,2072.1,0.0,Buy Dominant,0.0,0.0,Neutral
49319,12:43,7875.0,5250.0,0.0,0.0,0.0,281.9,281.9,281.9,281.9,2625.0,Neutral,0.0,0.0,Neutral
49319,12:44,0.0,0.0,0.0,0.0,0.0,281.95,281.95,281.95,281.95,0.0,Neutral,0.0,0.0,Neutral
49320,12:36,5000.0,0.0,0.0,0.0,0.0,384.0,384.0,384.0,384.0,5000.0,Neutral,0.0,0.0,Neutral
49323,12:13,325.0,325.0,0.0,0.0,0.0,1758.8,1758.8,1758.8,1758.8,0.0,Neutral,0.0,0.0,Neutral
49324,12:34,0.0,75.0,0.0,0.0,0.0,37285.0,37285.0,37285.0,37285.0,-75.0,Neutral,0.0,0.0,Neutral
49325,12:42,5925.0,-1975.0,0.0,0.0,0.0,355.4,355.4,355.4,355.4,7900.0,Neutral,0.0,0.0,Neutral
49326,12:37,375.0,-125.0,0.0,0.0,0.0,5940.0,5940.0,5940.0,5940.0,500.0,Neutral,0.0,0.0,Neutral
49327,12:43,1125.0,-1125.0,0.0,0.0,0.0,2702.9,2702.9,2702.9,2702.9,2250.0,Neutral,0.0,0.0,Neutral
49327,12:45,0.0,0.0,0.0,0.0,0.0,2704.0,2704.0,2704.0,2704.0,0.0,Neutral,0.0,0.0,Neutral
49328,12:41,750.0,-750.0,0.0,0.0,0.0,759.8,759.8,759.8,759.8,1500.0,Neutral,0.0,0.0,Neutral
49328,12:44,2250.0,1500.0,750.0,0.0,750.0,759.9,759.9,759.9,759.9,750.0,Buy Dominant,0.0,0.0,Neutral
49329,12:39,13500.0,-6750.0,0.0,0.0,0.0,147.95,147.95,147.95,147.95,20250.0,Neutral,0.0,0.0,Neutral
49330,12:43,475.0,0.0,0.0,0.0,0.0,1536.0,1536.0,1536.0,1536.0,475.0,Neutral,0.0,0.0,Neutral
49331,12:38,1700.0,-1700.0,0.0,0.0,0.0,671.95,671.95,671.95,671.95,3400.0,Neutral,0.0,0.0,Neutral
49331,12:44,-850.0,-1700.0,1700.0,0.0,1700.0,673.2,673.2,673.2,673.2,850.0,Buy Dominant,0.0,0.0,Neutral
49332,12:39,625.0,1250.0,0.0,0.0,0.0,1741.6,1741.6,1741.6,1741.6,-625.0,Neutral,0.0,0.0,Neutral
49335,12:43,750.0,-375.0,0.0,0.0,0.0,1523.0,1523.0,1523.0,1523.0,1125.0,Neutral,0.0,0.0,Neutral
49336,12:43,1350.0,0.0,0.0,0.0,0.0,388.15,388.15,388.15,388.15,1350.0,Neutral,0.0,0.0,Neutral
49342,12:43,-375.0,375.0,0.0,0.0,0.0,1849.1,1849.1,1849.1,1849.1,-750.0,Neutral,0.0,0.0,Neutral
49342,12:44,750.0,-375.0,2250.0,0.0,2250.0,1852.6,1853.4,1852.6,1853.4,1125.0,Buy Dominant,0.0,0.0,Neutral
49343,12:43,0.0,-225.0,0.0,0.0,0.0,2174.4,2174.4,2174.4,2174.4,225.0,Neutral,0.0,0.0,Neutral
49343,12:44,0.0,0.0,0.0,0.0,0.0,2179.0,2179.0,2179.0,2179.0,0.0,Neutral,0.0,0.0,Neutral
49349,12:43,-5000.0,-3750.0,0.0,0.0,0.0,512.95,512.95,512.95,512.95,-1250.0,Neutral,0.0,0.0,Neutral
49349,12:44,3750.0,-7500.0,1875.0,625.0,1250.0,513.2,513.2,513.2,513.2,11250.0,Buy Dominant,0.0,0.0,Neutral
49350,12:38,5400.0,1800.0,0.0,0.0,0.0,255.25,255.25,255.25,255.25,3600.0,Neutral,0.0,0.0,Neutral
49351,12:35,400.0,200.0,0.0,0.0,0.0,4605.2,4605.2,4605.2,4605.2,200.0,Neutral,0.0,0.0,Neutral
49352,12:31,0.0,0.0,0.0,0.0,0.0,506.85,506.85,506.85,506.85,0.0,Neutral,0.0,0.0,Neutral
49353,12:43,975.0,-650.0,0.0,0.0,0.0,1991.6,1991.6,1991.6,1991.6,1625.0,Neutral,0.0,0.0,Neutral
49353,12:44,650.0,-325.0,325.0,0.0,325.0,1994.8,1994.8,1994.8,1994.8,975.0,Buy Dominant,0.0,0.0,Neutral
49354,12:25,-6225.0,-2075.0,0.0,0.0,0.0,410.55,410.55,410.55,410.55,-4150.0,Neutral,0.0,0.0,Neutral
49363,12:30,200.0,300.0,0.0,0.0,0.0,6527.5,6527.5,6527.5,6527.5,-100.0,Neutral,0.0,0.0,Neutral
49364,12:43,100.0,1300.0,0.0,0.0,0.0,12989.0,12989.0,12989.0,12989.0,-1200.0,Neutral,0.0,0.0,Neutral
49364,12:45,-150.0,150.0,0.0,200.0,-200.0,12963.0,12963.0,12963.0,12963.0,-300.0,Sell Dominant,0.0,0.0,Neutral
49370,12:42,0.0,0.0,0.0,0.0,0.0,701.45,701.45,701.45,701.45,0.0,Neutral,0.0,0.0,Neutral
49370,12:44,4125.0,-4125.0,4950.0,0.0,4950.0,701.95,702.0,701.95,702.0,8250.0,Buy Dominant,0.0,0.0,Neutral
49372,12:37,0.0,-150.0,0.0,0.0,0.0,3840.1,3840.1,3840.1,3840.1,150.0,Neutral,0.0,0.0,Neutral
49374,12:42,-625.0,-3750.0,0.0,0.0,0.0,1284.0,1284.0,1284.0,1284.0,3125.0,Neutral,0.0,0.0,Neutral
49375,12:43,0.0,-100.0,0.0,0.0,0.0,7344.5,7344.5,7344.5,7344.5,100.0,Neutral,0.0,0.0,Neutral
49383,12:44,-4850.0,0.0,0.0,2425.0,-2425.0,292.75,292.75,292.7,292.7,-4850.0,Sell Dominant,0.0,0.0,Neutral
49384,12:32,1800.0,0.0,0.0,0.0,0.0,378.15,378.15,378.15,378.15,1800.0,Neutral,0.0,0.0,Neutral
49391,12:44,40000.0,-25000.0,40000.0,0.0,40000.0,263.95,264.3,263.95,264.3,65000.0,Buy Dominant,0.0,0.0,Neutral
49392,12:24,0.0,0.0,0.0,0.0,0.0,866.4,866.4,866.4,866.4,0.0,Neutral,0.0,0.0,Neutral
49392,12:44,-775.0,-775.0,775.0,0.0,775.0,867.2,867.2,867.2,867.2,0.0,Buy Dominant,0.0,0.0,Neutral
49393,12:17,6300.0,-3150.0,0.0,0.0,0.0,171.8,171.8,171.8,171.8,9450.0,Neutral,0.0,0.0,Neutral
49394,12:43,750.0,-750.0,0.0,0.0,0.0,1978.6,1978.6,1978.6,1978.6,1500.0,Neutral,0.0,0.0,Neutral
49395,12:40,6975.0,0.0,0.0,0.0,0.0,99.38,99.38,99.38,99.38,6975.0,Neutral,0.0,0.0,Neutral
49395,12:44,6975.0,0.0,20925.0,0.0,20925.0,99.64,99.64,99.64,99.64,6975.0,Buy Dominant,0.0,0.0,Neutral
49396,12:41,1500.0,0.0,0.0,0.0,0.0,1159.0,1159.0,1159.0,1159.0,1500.0,Neutral,0.0,0.0,Neutral
49397,12:42,550.0,-275.0,0.0,0.0,0.0,2059.7,2059.7,2059.7,2059.7,825.0,Neutral,0.0,0.0,Neutral
49398,12:43,-750.0,0.0,0.0,0.0,0.0,2811.4,2811.4,2811.4,2811.4,-750.0,Neutral,0.0,0.0,Neutral
49399,12:42,600.0,600.0,0.0,0.0,0.0,4362.7,4362.7,4362.7,4362.7,0.0,Neutral,0.0,0.0,Neutral
49399,12:44,-600.0,600.0,2550.0,0.0,2550.0,4372.9,4377.8,4372.9,4377.8,-1200.0,Buy Dominant,0.0,0.0,Neutral
49400,12:39,0.0,-500.0,0.0,0.0,0.0,1409.6,1409.6,1409.6,1409.6,500.0,Neutral,0.0,0.0,Neutral
49400,12:44,3000.0,-500.0,1000.0,1500.0,-500.0,1411.1,1411.1,1410.6,1410.6,3500.0,Sell Dominant,0.0,0.0,Neutral
49401,12:43,700.0,0.0,0.0,0.0,0.0,1674.0,1674.0,1674.0,1674.0,700.0,Neutral,0.0,0.0,Neutral
